Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-03-07,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-08,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-09,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-12,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-13,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-14,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-15,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-16,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-19,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-20,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-21,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-22,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-23,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,5,0.0,0.0
2007-03-26,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-27,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,1,0.0,0.0
2007-03-28,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-29,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-03-30,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-02,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-03,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-04,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-05,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-09,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-10,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-11,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-12,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-13,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-16,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-17,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-18,1012.2578735351564,1012.2578735351564,1012.2578735351564,1012.2578735351562,0,0.0,0.0
2007-04-19,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,1.162983,0.0
2007-04-20,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-04-23,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-04-24,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-04-25,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-04-26,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-04-27,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-04-30,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-01,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-02,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-03,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-04,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-07,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-08,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-09,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-10,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-11,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-14,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-15,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-16,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-17,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-18,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-21,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-22,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-23,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-24,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-25,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-29,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-30,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-05-31,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-01,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-04,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-05,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-06,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-07,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-08,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-11,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-12,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-13,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,3,0.0,0.0
2007-06-14,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,2,0.0,0.0
2007-06-15,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,1,0.0,0.0
2007-06-18,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-19,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-20,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-21,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-22,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-25,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-26,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-27,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-28,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-06-29,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,5,0.0,0.0
2007-07-02,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-03,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-05,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-06,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-09,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-10,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-11,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-12,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-13,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-16,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-17,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-18,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-19,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-20,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-23,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-24,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-25,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-26,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-27,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-30,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-07-31,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-01,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-02,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-03,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-06,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-07,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-08,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-09,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-10,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-13,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-14,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-15,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-16,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-17,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-20,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-21,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-22,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-23,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-24,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-27,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-28,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-29,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-30,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-08-31,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-04,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-05,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-06,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-07,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-10,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-11,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-12,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-13,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-14,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-17,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-18,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-19,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-20,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-21,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-24,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-25,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-26,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-27,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-09-28,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-01,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-02,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-03,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-04,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-05,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-08,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-09,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-10,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-11,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-12,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-15,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-16,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-17,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-18,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-19,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-22,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-23,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-24,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-25,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-26,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-29,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-30,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-10-31,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-01,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-02,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-05,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-06,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-07,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-08,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-09,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-12,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-13,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-14,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-15,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-16,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-19,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-20,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-21,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-23,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-26,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-27,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-28,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-29,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-11-30,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-03,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-04,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-05,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-06,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-07,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-10,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-11,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-12,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-13,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-14,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-17,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-18,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
2007-12-19,1013.4160766601564,1013.4160766601564,1013.4160766601564,1013.4160766601562,0,0.0,0.0
